epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3798.55,1.64672,4.84576,0.01278,0.45558,0.4113,0.39048,0.1871,1.52101,8.24616,0.01852,0.00998145,0.00332715,0.00998145,0.00332715,0.00998145,0.00332715,0.00998145,0.00332715
2,7773.52,1.69081,2.1902,0.01395,0.51241,0.43392,0.42561,0.19949,1.64035,3.08309,0.02104,0.0197836,0.00659454,0.0197836,0.00659454,0.0197836,0.00659454,0.0197836,0.00659454
3,11926.4,1.80821,2.08799,0.01528,0.31915,0.32747,0.22065,0.08819,1.89085,7.89435,0.02648,0.0293878,0.00979594,0.0293878,0.00979594,0.0293878,0.00979594,0.0293878,0.00979594
4,15769,1.88591,2.13149,0.01641,0.45972,0.41374,0.38864,0.176,1.77476,2.8384,0.02447,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,19620.3,1.84873,1.97326,0.01569,0.54425,0.48008,0.48764,0.23101,1.6911,2.93697,0.02329,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,23509.6,1.81356,1.86515,0.01532,0.56939,0.49431,0.51396,0.23939,1.6917,2.41923,0.02269,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,27301.7,1.7923,1.79599,0.01495,0.5847,0.50013,0.51963,0.26097,1.65622,1.8463,0.02167,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,31069.1,1.77198,1.73693,0.01471,0.58193,0.53664,0.55137,0.27109,1.61415,2.40557,0.02082,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,34931.4,1.76652,1.71781,0.01473,0.61501,0.54998,0.58749,0.28947,1.62771,2.24923,0.02109,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,38822.8,1.74871,1.66693,0.01437,0.61616,0.56723,0.58778,0.29,1.59568,1.98509,0.02016,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,42685.8,1.72783,1.64066,0.01408,0.61229,0.55859,0.58747,0.29123,1.61194,2.13659,0.02104,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,46543.4,1.71966,1.61434,0.01394,0.64888,0.59056,0.62814,0.31907,1.53852,1.8561,0.01881,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
